Unique_Questionnaire_Number,Person_Number,Survey_Date,Province,Metro_Code,Geo_Type_Code,Stratum,Gender,Age,Marital_Status,Education_Level,Population_Group,Field_of_Study,Attendance_Status,Employment_Status,Labour_Force_Status,Unemployment_Status,Reason_for_Inactivity,Industry_Code,Occupation_Code,Previous_Industry_Code,Previous_Occupation_Code,Sector_Code,Informal_Employment_Status,Long_Term_Unemployment_Status,Underemployment_Status,"'Not in Education, Employment, or Training' Status",Graduate Status,Education Status,Age Group,Hours Worked,Weight
160100880000001801,1,2026-05-02,1,1,1,10102,1,29,1,22,4,29.0,2,1.0,1.0,,,5.0,7.0,,,1.0,1.0,,2.0,2.0,3,6,6,40.0,1738.5549987
160100880000001801,2,2026-05-02,1,1,1,10102,2,28,1,26,4,7.0,2,1.0,1.0,,,9.0,3.0,,,1.0,1.0,,2.0,2.0,4,6,6,40.0,1738.5549987
160100880000005801,1,2026-05-02,1,1,1,10102,1,49,1,12,4,inf,2,1.0,1.0,,,1.0,6.0,,,1.0,1.0,,2.0,2.0,2,5,10,40.0,667.58349482
160100880000005801,2,2026-05-02,1,1,1,10102,2,48,1,12,4,inf,2,1.0,1.0,,,8.0,4.0,,,1.0,1.0,,2.0,2.0,2,5,10,40.0,667.58349482
160100880000007801,1,2026-05-02,1,1,1,10102,1,62,1,26,4,7.0,2,1.0,1.0,,,9.0,2.0,,,1.0,2.0,,2.0,2.0,4,6,13,40.0,849.14851571
160100880000007801,2,2026-05-02,1,1,1,10102,2,56,1,24,4,7.0,2,4.0,6.0,4.0,4.0,,,9.0,5.0,,,,,1.0,3,6,12,,849.14851571
160100880000011801,1,2026-05-02,1,1,1,10102,1,49,1,12,4,inf,2,1.0,1.0,,,6.0,1.0,,,1.0,1.0,,2.0,2.0,2,5,10,51.0,1538.5840949
160100880000011801,2,2026-05-02,1,1,1,10102,2,44,1,26,3,27.0,2,1.0,1.0,,,8.0,2.0,,,1.0,2.0,,2.0,2.0,4,6,9,40.0,1538.5840949
160100880000011801,3,2026-05-02,1,1,1,10102,1,19,5,12,4,inf,2,4.0,6.0,3.0,6.0,,,,,,,,,1.0,2,5,4,,1538.5840949
160100880000011801,4,2026-05-02,1,1,1,10102,2,17,5,10,4,inf,1,4.0,6.0,3.0,1.0,,,,,,,,,2.0,1,4,4,,1538.5840949
160100880000013801,1,2026-05-02,1,1,1,10102,1,62,1,26,4,8.0,2,1.0,1.0,,,3.0,4.0,,,1.0,1.0,,2.0,2.0,4,6,13,50.0,1312.0777515
160100880000013801,2,2026-05-02,1,1,1,10102,2,68,1,23,4,28.0,2,1.0,1.0,,,9.0,4.0,,,1.0,1.0,,2.0,2.0,3,6,14,45.0,1312.0777515
160100900000013301,1,2026-04-02,1,1,1,10102,2,58,4,12,4,inf,2,4.0,6.0,4.0,6.0,,,6.0,1.0,,,,,1.0,2,5,12,,1719.7405836
160100900000013301,2,2026-04-02,1,1,1,10102,2,25,5,12,4,inf,2,1.0,1.0,,,6.0,4.0,,,1.0,1.0,,2.0,2.0,2,5,6,45.0,1719.7405836
160100900000013301,3,2026-04-02,1,1,1,10102,2,84,3,12,4,inf,2,4.0,6.0,5.0,4.0,,,,,,,,,1.0,2,5,16,,1719.7405836
160100900000015401,1,2026-04-02,1,1,1,10102,1,51,5,12,4,inf,2,1.0,1.0,,,9.0,4.0,,,1.0,1.0,,2.0,2.0,2,5,11,40.0,960.30346158
160100930000000401,1,2026-06-02,1,1,1,10102,2,68,4,8,4,inf,2,1.0,1.0,,,6.0,9.0,,,1.0,1.0,,2.0,2.0,1,4,14,50.0,1514.4333623
160100930000000401,2,2026-06-02,1,1,1,10102,2,15,5,8,4,inf,1,4.0,6.0,3.0,1.0,,,,,,,,,2.0,1,4,4,,1514.4333623
160100930000002207,1,2026-06-02,1,1,1,10102,1,54,1,13,4,inf,2,1.0,1.0,,,1.0,1.0,,,1.0,2.0,,2.0,2.0,2,5,11,30.0,1158.2583058
160100930000002207,2,2026-06-02,1,1,1,10102,2,49,1,23,4,9.0,2,1.0,1.0,,,9.0,3.0,,,1.0,1.0,,2.0,2.0,3,6,10,40.0,1158.2583058
160100930000002207,4,2026-06-02,1,1,1,10102,1,16,5,10,4,inf,1,4.0,6.0,3.0,1.0,,,,,,,,,2.0,1,4,4,,1158.2583058
160100930000005801,1,2026-06-02,1,1,1,10102,1,49,1,23,4,8.0,2,1.0,1.0,,,1.0,3.0,,,1.0,1.0,,2.0,2.0,3,6,10,45.0,1416.1099268
160100930000005801,2,2026-06-02,1,1,1,10102,2,42,1,23,4,9.0,2,1.0,1.0,,,9.0,4.0,,,1.0,1.0,,1.0,2.0,3,6,9,15.0,1416.1099268
160100930000005801,3,2026-06-02,1,1,1,10102,1,19,5,11,4,inf,1,4.0,6.0,3.0,1.0,,,,,,,,,2.0,1,4,4,,1416.1099268
160100930000005801,4,2026-06-02,1,1,1,10102,1,17,5,10,4,inf,1,4.0,6.0,3.0,1.0,,,,,,,,,2.0,1,4,4,,1416.1099268
160100930000007601,1,2026-06-02,1,1,1,10102,1,39,1,13,2,inf,2,1.0,1.0,,,9.0,3.0,,,1.0,1.0,,2.0,2.0,2,5,8,40.0,1220.0044907
160100930000007601,2,2026-06-02,1,1,1,10102,2,36,1,13,2,inf,2,1.0,1.0,,,2.0,8.0,,,1.0,1.0,,2.0,2.0,2,5,8,60.0,1220.0044907
160100930000007601,3,2026-06-02,1,1,1,10102,2,62,3,13,2,inf,2,4.0,6.0,3.0,4.0,,,,,,,,,1.0,2,5,13,,1220.0044907
160100930000009401,1,2026-06-02,1,1,1,10102,1,63,5,13,4,inf,2,1.0,1.0,,,6.0,1.0,,,1.0,2.0,,2.0,2.0,2,5,13,48.0,969.12637924
160100930000011201,1,2026-06-02,1,1,1,10102,1,47,2,7,2,inf,2,2.0,2.0,5.0,,,,,,,,1.0,,1.0,1,3,10,,1664.4474166
160100930000011201,2,2026-06-02,1,1,1,10102,2,37,2,11,2,inf,2,4.0,6.0,5.0,3.0,,,,,,,,,1.0,1,4,8,,1664.4474166
160101020000002201,1,2026-04-02,1,1,1,10108,1,49,1,9,2,inf,2,1.0,1.0,,,3.0,7.0,,,1.0,1.0,,2.0,2.0,1,4,10,60.0,1403.0976845
160101020000002201,2,2026-04-02,1,1,1,10108,2,40,1,26,2,4.0,2,4.0,5.0,2.0,6.0,,,8.0,2.0,,,,,1.0,4,6,9,,1403.0976845
160101020000002201,3,2026-04-02,1,1,1,10108,2,65,4,9,2,inf,2,4.0,6.0,5.0,4.0,,,,,,,,,1.0,1,4,14,,1403.0976845
160101020000002201,4,2026-04-02,1,1,1,10108,2,21,5,12,2,inf,2,2.0,2.0,3.0,,,,,,,,1.0,,1.0,2,5,5,,1403.0976845
160101020000002201,5,2026-04-02,1,1,1,10108,2,17,5,11,2,inf,1,4.0,6.0,3.0,1.0,,,,,,,,,2.0,1,4,4,,1403.0976845
